snapped_at,price,market_cap,total_volume
2019-03-31 00:00:00 UTC,0.01337690211102898,0.0,12066.277921043411
2019-04-01 00:00:00 UTC,0.01268635748388349,0.0,1779.1259057759391
2019-04-02 00:00:00 UTC,0.0127984456484544,0.0,6871.825697414907
2019-04-03 00:00:00 UTC,0.012512584671285666,0.0,8244.166221927006
2019-04-04 00:00:00 UTC,0.01463663590496169,0.0,797.312916427583
2019-04-05 00:00:00 UTC,0.011939937431359904,0.0,16239.019279378357
2019-04-06 00:00:00 UTC,0.01494544190796973,0.0,11976.571035687644
2019-04-07 00:00:00 UTC,0.012011963078749186,0.0,10810.778782837346
2019-04-08 00:00:00 UTC,0.013000190098543871,0.0,7807.464860615263
2019-04-09 00:00:00 UTC,0.037175577027988474,0.0,14631.395944546757
2019-04-10 00:00:00 UTC,0.01003779484480743,0.0,7381.433213179165
